Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
614,tt0072431,2020-11-21,2020-11-21,,Young Frankenstein,https://www.imdb.com/title/tt0072431/,movie,8.0,106,1974,Comedy,142030,1974-12-15,Mel Brooks,,
615,tt1156398,2020-11-21,2020-11-21,,Zombieland,https://www.imdb.com/title/tt1156398/,movie,7.6,88,2009,"Adventure, Comedy, Fantasy, Horror, Sci-Fi",515461,2009-09-25,Ruben Fleischer,,
616,tt1038988,2020-11-21,2020-11-21,,[Rec],https://www.imdb.com/title/tt1038988/,movie,7.4,78,2007,"Action, Adventure, Fantasy, Horror, Mystery, Sci-Fi, Thriller",164144,2007-08-29,"Jaume Balagueró, Paco Plaza",,
