Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt1022603,2020-11-20,2020-11-20,,(500) Days of Summer,https://www.imdb.com/title/tt1022603/,movie,7.7,95,2009,"Comedy, Drama, Romance",468088,2009-01-17,Marc Webb,,
2,tt1179933,2020-11-20,2020-11-20,,10 Cloverfield Lane,https://www.imdb.com/title/tt1179933/,movie,7.2,103,2016,"Action, Drama, Horror, Mystery, Sci-Fi, Thriller",286793,2016-03-08,Dan Trachtenberg,,
