City,Organization Name,Grant Type,Grant Sector,Grant Subsector,Payment Amount
Terrace,Terrace Art Association,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,28500
Terrace,Terrace Community Band,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,10000
Terrace,Terrace Pipes and Drums Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,5000
Trail,Greater Trail Swim Racing Society,Community Gaming Grant,Sport,Sports for Youth,15400
Trail,Special Olympics BC Society - Trail Local,Community Gaming Grant,Sport,Sports for Disabled Persons,10000
Trail,The Greater Trail Creative Activities Centre Society for the Visual Arts,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,3850
Trail,Trail and District Community Arts Council,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,4000
Trail,Trail Gymnastics Society,Community Gaming Grant,Sport,Sports for Youth,14200
Ucluelet,Pacific Rim Arts Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,21300
Vancouver,African Descent Society British Columbia,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",25000
Vancouver,All Bodies Dance Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,12000
Vancouver,Alley Theatre Association,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,8000
Vancouver,Art Starts in Schools Society,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,37000
Vancouver,Arts Club of Vancouver Theatre Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,60000
Vancouver,Arts Umbrella Association,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,225000
Vancouver,Association of United Ukrainian Canadians,Multiculturalism Grant,Cultural Expression,Cultural Expression,2500
Vancouver,Awkward Stage Productions Society,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,7400
Vancouver,Axis Theatre Society,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,52500
Vancouver,B.C. Chinese Music Association,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,14000
Vancouver,Bard on the Beach Theatre Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,52000
Vancouver,Barking Sphinx Performance Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,10350
Vancouver,Battery Opera Performing Arts Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,27500
Vancouver,Battle Of Britain Memorial Fund,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",1000
Vancouver,British Columbia Choral Federation,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,47400
Vancouver,Carousel Theatre Society,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,60500
Vancouver,Centre culturel francophone de Vancouver,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,81000
Vancouver,Chor Leoni Men's Choir,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,25000
Vancouver,Compaigni V'ni Dansi Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,14000
Vancouver,Conseil jeunesse francophone de la Colombie-Britannique,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,18000
Vancouver,Eastside Culture Crawl Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",10000
Vancouver,EDAM Performing Arts Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,12000
Vancouver,Friends of the Vancouver City Archives,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",7500
Vancouver,Fugue Theatre Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,16000
Vancouver,Geist Foundation,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,48500
Vancouver,Greater Vancouver International Film Festival Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",100000
Vancouver,Greater Vancouver Vivaldi Chamber Choir Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,11000
Vancouver,Green Thumb Players Society,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,46800
Vancouver,Hardline Productions Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,8000
Vancouver,Health Arts Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,15000
Vancouver,Indian Summer Arts Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",55000
Vancouver,Joe Ink Performance Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,25000
Vancouver,Karen Jamieson Dance Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,15000
Vancouver,Katari Taiko Drum Group Association,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,10000
Vancouver,Lions Gate Chorus - Sweet Adelines International,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,5000
Vancouver,Lions Gate Sinfonia Society,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,12500
Vancouver,Malaspina Printmakers Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,29200
Vancouver,Mandala Arts and Culture Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,11200
Vancouver,Metro Seniors Band Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,4500
Vancouver,Mortal Coil Performance Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,35000
Vancouver,Movement Enterprises Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,22800
Vancouver,Or Gallery Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,31500
Vancouver,Phoenix Vocal and Performing Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,16325
Vancouver,Pink Ink Theatre Productions Association,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,44000
Vancouver,Powell Street Festival Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",20500
Vancouver,Pride in Art Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",31000
Vancouver,Radix Theatre Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,25000
Vancouver,Rice and Beans Theatre Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,8000
Vancouver,Roedde House Preservation Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",29000
Vancouver,Rumble Productions Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,44000
Vancouver,Still Moon Arts Society,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,8500
Vancouver,The Only Animal Theatre Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,20000
Vancouver,The Plastic Orchid Factory Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,12000
Vancouver,The Rainbow Band Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,5000
Vancouver,The Response Dance Society,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,3500
Vancouver,"The Valerie, Ruth & Pamela Dudoward Foundation",Community Gaming Grant,Arts and Culture,Adult Arts and Culture,12000
Vancouver,The Vancouver Cantata Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,50000
Vancouver,The Vancouver Children's Choir Choral Society,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,5000
Vancouver,The Vancouver Chopin Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,10000
Vancouver,Tomoe Arts Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,9000
Vancouver,Twenty-Something Theatre Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,9000
Vancouver,United Scottish Cultural Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",15500
Vancouver,Universal Gospel Choir,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,15000
Vancouver,Up in the Air Theatre Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,26400
Vancouver,Urban Ink Production Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,16000
Vancouver,Uzume Taiko Drum Group Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,12000
Vancouver,Vancouver Academy of Music,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,55700
Vancouver,Vancouver Choral Arts Society,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,20000
Vancouver,Vancouver City Singers Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,6000
Vancouver,Vancouver Folk Music Festival Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",77250
Vancouver,Vancouver Fringe Theatre Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",78000
Vancouver,Vancouver International Bhangra Celebration Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,100000
Vancouver,Vancouver International Children's Festival Society,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,100000
Vancouver,Vancouver International Halloween Festival Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",15500
Vancouver,Vancouver International Sculpture Biennale,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,250000
Vancouver,Vancouver International Writers Festival Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",38500
Vancouver,Vancouver Killarney Minor Lacrosse Association,Community Gaming Grant,Sport,Sports for Youth,23000
Vancouver,Vancouver Latin American Cultural Centre Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,12500
Vancouver,Vancouver Latin American Film Festival Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",21000
Vancouver,Vancouver Moving Theatre Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",48000
Vancouver,Vancouver New Music Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,50000
Vancouver,Vancouver Opera Association,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,35000
Vancouver,Vancouver Opera Guild,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,10000
Vancouver,Vancouver Out On Screen Film and Video Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,36000
Vancouver,Vancouver Pacific Swim Club,Community Gaming Grant,Sport,Sports for Youth,83000
Vancouver,Vancouver Recital Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,22500
Vancouver,Vancouver Society for Early Music,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,70000
Vancouver,Vancouver South East Chinese School Society,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,24000
Vancouver,Vancouver Tap Dance Society,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,25000
Vancouver,Vancouver Thunder Volleyball Club,Community Gaming Grant,Sport,Sports for Youth,16000
Vancouver,Vancouver Vikings Swim Club,Community Gaming Grant,Sport,Sports for Youth,29800
Vancouver,Vetta Chamber Music Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,11000
Vancouver,Voci Crescendi Society,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,10000
Vancouver,VSO School of Music Society,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,15000
Vancouver,WC Race Series,Community Gaming Grant,Sport,Sports for Disabled Persons,6000
Vancouver,Wen Wei Dance Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,20000
Vancouver,West Coast Symphony Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,10000
Vancouver,Western Front Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,40000
Vancouver,Western Theatre Conspiracy Arts Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,27000
Vanderhoof,Nechako Valley Exhibition,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",21000
Vernon,Kelowna K.O.'S Wheelchair Rugby Association,Community Gaming Grant,Sport,Sports for Disabled Persons,11600
Vernon,Okanagan Military Tattoo Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",20000
Vernon,Powerhouse Theatrical Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,22500
Vernon,Vernon Concert Band Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,1500
Vernon,Vernon Public Art Gallery Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",47000
Vernon,Vernon Winter Carnival Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",35000
Victoria,Art Gallery of Greater Victoria,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,100000
Victoria,Bays United Football Club,Community Gaming Grant,Sport,Sports for Youth,95880
Victoria,BC Accordion and Tango Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",20000
Victoria,Beacon Hill Baseball and Softball Association,Community Gaming Grant,Sport,Sports for Youth,22000
Victoria,Belfry Theatre Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,90000
Victoria,Blue Bridge Theatre Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,24800
Victoria,Chinook Racing Canoe Club,Community Gaming Grant,Sport,Sports for Youth,2000
Victoria,Cine-Vic Society of Independent Filmmakers,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,13000
Victoria,Colquitz Middle School PAC,PAC,DPAC and PAC,PAC,8880
Victoria,Dance Victoria Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,20500
Victoria,Emily Carr String Quartet Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,4000
Victoria,Ensemble Laude Choral Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,6700
Victoria,Four Seasons Musical Theatre Society,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,16500
Victoria,Friends of the Ashton Armoury Museum,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",15000
Victoria,Greater Victoria Aquatics Society,Community Gaming Grant,Sport,Sports for Youth,15700
Victoria,Greater Victoria Performing Arts Festival Association,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,20000
Victoria,IAS Integrate Art Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",5000
Victoria,International Theatre Inconnu Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,36000
Victoria,Intrepid Theatre Company Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",70000
Victoria,Island Strings Players Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,15000
Victoria,James Bay Athletic Association,Community Gaming Grant,Sport,Sports for Youth,6000
Victoria,Jewish Community Centre of Victoria,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,12000
Victoria,Kaleidoscope Theatre Productions Society,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,85000
Victoria,Lakehill Little League Baseball Association,Community Gaming Grant,Sport,Sports for Youth,22260
Victoria,Langford Minor Fastball Association,Community Gaming Grant,Sport,Sports for Youth,16800
Victoria,Operation Trackshoes Society,Community Gaming Grant,Sport,Sports for Disabled Persons,29000
Victoria,Pacific Opera Victoria Association,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,90000
Victoria,Runnymede Enhancement Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,24000
Victoria,Sir James Douglas Out of School Club,Community Gaming Grant,Human and Social Services,Community Education,24850
Victoria,Story Theatre Productions Society,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,43500
Victoria,The Allegra Singers Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,6000
Victoria,The Other Guys Theatre Company Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,43000
Victoria,Theatre Skam Association,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,53500
Victoria,Veselka Ukrainian Dance Association,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,9000
Victoria,Victoria Baroque Music Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,5000
Victoria,Victoria City Rowing Club,Community Gaming Grant,Sport,Sports for Youth,31625
Victoria,Victoria Filipino-Canadian Association,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,7500
Victoria,Victoria Good News Choir Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,7500
Victoria,Victoria Independent Film & Video Festival,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",42000
Victoria,Victoria Judo Club,Community Gaming Grant,Sport,Sports for Youth,7500
Victoria,Victoria Operatic Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,55000
Victoria,Victoria Russian School Society,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,5000
Victoria,Victoria Summer Music Festival Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",7500
Victoria,Victoria Symphony Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,100000
Victoria,Viva Youth Choirs Society of Victoria,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,10000
Victoria,Vox Humana Chamber Choir Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,5000
Victoria,West Coast Children's Choral Society,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,18000
West Vancouver,Pandoras Vox Vocal Ensemble Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,11500
West Vancouver,West Vancouver Adult Community Band Association,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,1350
Whistler,The Whistler Writing Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",11000
Whistler,Whistler Arts Council,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,39500
Whistler,Whistler Blackcomb Freestyle Ski Club,Community Gaming Grant,Sport,Sports for Youth,16375
White Rock,Mann Park Lawn Bowling Club,Community Gaming Grant,Sport,Sports - Adult,9500
White Rock,Peninsula Productions Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,17100
Williams Lake,Cariboo Chilcotin Gymnastics Association,Community Gaming Grant,Sport,Sports for Youth,34000
Williams Lake,Community Arts Council of Williams Lake,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,5500
Williams Lake,Museum of the Cariboo Chilcotin Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,30000
Williams Lake,Station House Studio and Gallery Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,23000
