City,Organization Name,Grant Type,Grant Sector,Grant Subsector,Payment Amount
Lake Cowichan,Kaatza Historical Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",18500
Langford,West Shore Arts Council,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,4100
Langley,Encompass Support Services Society,Community Gaming Grant,Human and Social Services,Disadvantage Distress Poverty,10000
Langley,Fraser Valley Diving Society,Community Gaming Grant,Sport,Sports for Youth,39000
Langley,Langley Minor Lacrosse Association,Community Gaming Grant,Sport,Sports for Youth,42100
Langley,Langley Ukulele Association,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,37000
Langley,Soroptimist International of the Langleys,Community Gaming Grant,Human and Social Services,Community Service Organization,9200
Langley,The Royal Canadian Theatre Company,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,13000
Langley,White Spot Pipe Band Society,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,10000
Lazo,Comox Valley Air Force Museum Association,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",20000
Lumby,Lumby Swim Club,Community Gaming Grant,Sport,Sports for Youth,12000
Madeira Park,Pender Harbour Music Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,5000
Mansons Landing,Cortes Island Museum & Archives Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",15000
Maple Ridge,District 5050 Pipe Band Society,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,25000
Maple Ridge,Golden Ears Athletics Society,Community Gaming Grant,Sport,Sports for Youth,8400
Maple Ridge,Maple Ridge and Pitt Meadows Arts Council,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,72000
Maple Ridge,Maple Ridge Choral Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,2000
Maple Ridge,Maple Ridge Historical Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",24000
Maple Ridge,Maple Ridge/Pitt Meadows Agricultural Association,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",11000
Maple Ridge,Polonez Polish Canadian Dance Society,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,22000
Maple Ridge,Ridge Meadows Hospice Society,Community Gaming Grant,Human and Social Services,Public Health in the Community,90000
Merritt,Merritt Otters Swim Club,Community Gaming Grant,Sport,Sports for Youth,10500
Mission,District of Mission Arts Council,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,29850
